run,messages,batch_size,plugin_config,name,avg_byte_throughput,max_arena_size,max_in_use_size,max_mmap_size,close_time
0,large,small,mcap_default,run=0;messages=large;batch_size=small;plugin_config=mcap_default,113921205.51913969,999424,1101888,2367488,0.000672474
0,large,small,mcap_uncompressed,run=0;messages=large;batch_size=small;plugin_config=mcap_uncompressed,112315053.0926131,1003520,1102752,0,0.0006105
0,large,small,mcap_nocrc,run=0;messages=large;batch_size=small;plugin_config=mcap_nocrc,1209341746.965123,999424,1103216,0,0.000594552
0,large,small,mcap_nochunking,run=0;messages=large;batch_size=small;plugin_config=mcap_nochunking,1580977349.1835773,0,28784,0,0.000269142
0,large,small,sqlite_default,run=0;messages=large;batch_size=small;plugin_config=sqlite_default,810188497.9454355,1134592,2167136,0,0.00015473
0,large,small,sqlite_resilient,run=0;messages=large;batch_size=small;plugin_config=sqlite_resilient,343867810.95223767,1134592,2161520,0,0.001527647
0,large,default,mcap_default,run=0;messages=large;batch_size=default;plugin_config=mcap_default,113855511.51909092,999424,1101888,2367488,0.000791866
0,large,default,mcap_uncompressed,run=0;messages=large;batch_size=default;plugin_config=mcap_uncompressed,112427229.43943746,1003520,1102752,0,0.00062202
0,large,default,mcap_nocrc,run=0;messages=large;batch_size=default;plugin_config=mcap_nocrc,1184022621.3245118,999424,1103216,0,0.000613427
0,large,default,mcap_nochunking,run=0;messages=large;batch_size=default;plugin_config=mcap_nochunking,1529341199.8958733,0,28784,0,0.000269083
0,large,default,sqlite_default,run=0;messages=large;batch_size=default;plugin_config=sqlite_default,809522644.1434734,1134592,2167136,0,0.000179451
0,large,default,sqlite_resilient,run=0;messages=large;batch_size=default;plugin_config=sqlite_resilient,114320265.00930595,1134592,2161488,0,0.002402351
0,medium,small,mcap_default,run=0;messages=medium;batch_size=small;plugin_config=mcap_default,117904678.24892312,0,150160,3727360,0.001010663
0,medium,small,mcap_uncompressed,run=0;messages=medium;batch_size=small;plugin_config=mcap_uncompressed,117720514.96403849,606208,351264,1286144,0.000951075
0,medium,small,mcap_nocrc,run=0;messages=medium;batch_size=small;plugin_config=mcap_nocrc,2703698037.1125197,610304,351744,1286144,0.000971067
0,medium,small,mcap_nochunking,run=0;messages=medium;batch_size=small;plugin_config=mcap_nochunking,1151031636.2511826,0,28720,0,0.000292482
0,medium,small,sqlite_default,run=0;messages=medium;batch_size=small;plugin_config=sqlite_default,201069273.87589294,2162688,2166928,0,0.000274505
0,medium,small,sqlite_resilient,run=0;messages=medium;batch_size=small;plugin_config=sqlite_resilient,138913794.1711579,2031616,2161584,0,0.010079177
0,medium,default,mcap_default,run=0;messages=medium;batch_size=default;plugin_config=mcap_default,115438799.89485821,159744,148112,3727360,0.000942704
0,medium,default,mcap_uncompressed,run=0;messages=medium;batch_size=default;plugin_config=mcap_uncompressed,110605629.60854559,274432,149120,1286144,0.000999047
0,medium,default,mcap_nocrc,run=0;messages=medium;batch_size=default;plugin_config=mcap_nocrc,1063266996.4880413,409600,149712,1286144,0.000985622
0,medium,default,mcap_nochunking,run=0;messages=medium;batch_size=default;plugin_config=mcap_nochunking,1120102312.9118485,0,28848,0,0.000291279
0,medium,default,sqlite_default,run=0;messages=medium;batch_size=default;plugin_config=sqlite_default,684410234.5544878,2207744,2167520,0,0.000246746
0,medium,default,sqlite_resilient,run=0;messages=medium;batch_size=default;plugin_config=sqlite_resilient,95328459.78774409,2220032,2161648,0,0.005894311
0,small,small,mcap_default,run=0;messages=small;batch_size=small;plugin_config=mcap_default,27782489.46758992,5586944,4015008,0,0.001209332
0,small,small,mcap_uncompressed,run=0;messages=small;batch_size=small;plugin_config=mcap_uncompressed,27904894.23567925,2158592,1367664,0,0.001242226
0,small,small,mcap_nocrc,run=0;messages=small;batch_size=small;plugin_config=mcap_nocrc,40571570.071653455,2162688,1368048,0,0.001246414
0,small,small,mcap_nochunking,run=0;messages=small;batch_size=small;plugin_config=mcap_nochunking,174757071.39642578,0,29168,0,0.000343635
0,small,small,sqlite_default,run=0;messages=small;batch_size=small;plugin_config=sqlite_default,17087242.35518418,2199552,2166704,0,0.000161857
0,small,small,sqlite_resilient,run=0;messages=small;batch_size=small;plugin_config=sqlite_resilient,17873165.46001227,2187264,2161200,0,0.010100841
0,small,default,mcap_default,run=0;messages=small;batch_size=default;plugin_config=mcap_default,26914519.174652528,5566464,4012704,0,0.001152527
0,small,default,mcap_uncompressed,run=0;messages=small;batch_size=default;plugin_config=mcap_uncompressed,26566638.33373833,2162688,1365312,0,0.001239763
0,small,default,mcap_nocrc,run=0;messages=small;batch_size=default;plugin_config=mcap_nocrc,38592100.11005758,2162688,1365552,0,0.001222568
